,Date,resting_HR,average_stress,sleeping_hours
118,2020-05-29,51.0,40.0,6.85
119,2020-05-30,52.0,39.0,
120,2020-05-31,50.0,22.0,10.883333333333333
121,2020-06-01,50.0,27.0,11.35
122,2020-06-02,50.0,34.0,7.433333333333334
123,2020-06-03,49.0,30.0,
124,2020-06-04,53.0,31.0,
125,2020-06-05,49.0,26.0,7.8
126,2020-06-06,52.0,23.0,14.766666666666667
127,2020-06-07,49.0,23.0,16.133333333333333
128,2020-06-08,50.0,32.0,10.4
129,2020-06-09,50.0,31.0,9.216666666666667
130,2020-06-10,50.0,33.0,8.983333333333333
131,2020-06-11,52.0,29.0,7.683333333333334
132,2020-06-12,52.0,37.0,6.516666666666667
133,2020-06-13,50.0,38.0,7.983333333333333
134,2020-06-14,58.0,45.0,4.466666666666667
135,2020-06-15,52.0,26.0,9.4
136,2020-06-16,49.0,35.0,8.3
137,2020-06-17,51.0,21.0,7.233333333333333
138,2020-06-18,46.0,28.0,7.45
139,2020-06-19,50.0,32.0,8.1
140,2020-06-20,56.0,36.0,
141,2020-06-21,52.0,25.0,9.35
142,2020-06-22,52.0,29.0,8.65
143,2020-06-23,48.0,22.0,7.55
144,2020-06-24,53.0,36.0,7.116666666666666
145,2020-06-25,54.0,34.0,6.916666666666667
146,2020-06-26,52.0,25.0,7.283333333333333
147,2020-06-27,53.0,29.0,7.766666666666667
148,2020-06-28,57.0,46.0,5.716666666666667
149,2020-06-29,50.0,16.0,8.166666666666666
150,2020-06-30,51.0,24.0,7.816666666666666
151,2020-07-01,49.0,29.0,7.9
152,2020-07-02,45.0,26.0,7.816666666666666
153,2020-07-03,50.0,29.0,8.283333333333333
154,2020-07-04,56.0,29.0,8.15
155,2020-07-05,51.0,32.0,7.216666666666667
156,2020-07-06,56.0,33.0,7.5
157,2020-07-07,55.0,32.0,7.8
158,2020-07-08,54.0,31.0,7.133333333333334
159,2020-07-09,55.0,32.0,8.25
160,2020-07-10,53.0,35.0,7.9
161,2020-07-11,54.0,30.0,8.083333333333334
162,2020-07-12,57.0,44.0,
163,2020-07-13,49.0,26.0,7.233333333333333
164,2020-07-14,50.0,22.0,7.65
165,2020-07-15,48.0,17.0,8.15
166,2020-07-16,50.0,30.0,4.616666666666666
167,2020-07-17,54.0,40.0,
168,2020-07-18,49.0,19.0,8.483333333333333
169,2020-07-19,50.0,20.0,8.383333333333333
170,2020-07-20,51.0,26.0,7.266666666666667
171,2020-07-21,51.0,29.0,8.1
172,2020-07-22,53.0,38.0,
173,2020-07-23,49.0,26.0,7.2
174,2020-07-24,51.0,28.0,8.133333333333333
175,2020-07-25,55.0,37.0,7.95
176,2020-07-26,53.0,28.0,5.6
177,2020-07-27,51.0,22.0,8.033333333333333
178,2020-07-28,50.0,28.0,6.916666666666667
179,2020-07-29,56.0,29.0,8.083333333333334
180,2020-07-30,53.0,40.0,
181,2020-07-31,50.0,26.0,8.616666666666667
182,2020-08-01,53.0,18.0,8.816666666666666
183,2020-08-02,53.0,24.0,8.816666666666666
184,2020-08-03,48.0,21.0,8.483333333333333
185,2020-08-04,49.0,19.0,9.083333333333334
186,2020-08-05,48.0,24.0,7.783333333333333
187,2020-08-06,47.0,27.0,6.4
188,2020-08-07,49.0,37.0,6.75
189,2020-08-08,53.0,25.0,8.016666666666667
190,2020-08-09,50.0,72.0,
191,2020-08-10,52.0,24.0,8.0
192,2020-08-11,50.0,28.0,8.383333333333333
193,2020-08-12,47.0,33.0,8.183333333333334
194,2020-08-13,51.0,27.0,6.95
195,2020-08-14,52.0,26.0,8.116666666666667
196,2020-08-15,51.0,27.0,7.816666666666666
197,2020-08-16,51.0,33.0,8.2
198,2020-08-17,53.0,34.0,5.216666666666667
199,2020-08-18,54.0,40.0,8.416666666666666
200,2020-08-19,54.0,23.0,6.733333333333333
201,2020-08-20,50.0,30.0,8.866666666666667
202,2020-08-21,50.0,29.0,7.033333333333333
203,2020-08-22,48.0,20.0,10.033333333333333
204,2020-08-23,53.0,26.0,7.55
205,2020-08-24,51.0,28.0,7.766666666666667
206,2020-08-25,53.0,25.0,7.5
207,2020-08-26,51.0,25.0,9.05
208,2020-08-27,48.0,36.0,8.316666666666666
209,2020-08-28,49.0,33.0,8.383333333333333
210,2020-08-29,52.0,24.0,6.916666666666667
211,2020-08-30,49.0,26.0,7.533333333333333
212,2020-08-31,49.0,27.0,8.2
213,2020-09-01,48.0,30.0,6.383333333333334
214,2020-09-02,55.0,43.0,
215,2020-09-03,51.0,35.0,7.666666666666667
216,2020-09-04,50.0,28.0,8.55
217,2020-09-05,50.0,17.0,8.433333333333334
218,2020-09-06,52.0,33.0,8.866666666666667
219,2020-09-07,54.0,27.0,6.633333333333334
220,2020-09-08,51.0,33.0,4.45
221,2020-09-09,48.0,28.0,8.866666666666667
222,2020-09-10,52.0,41.0,8.3
223,2020-09-11,54.0,44.0,6.05
224,2020-09-12,59.0,48.0,7.45
225,2020-09-13,60.0,39.0,7.683333333333334
226,2020-09-14,59.0,43.0,7.9
227,2020-09-15,55.0,30.0,6.65
228,2020-09-16,55.0,23.0,8.783333333333333
229,2020-09-17,53.0,25.0,6.983333333333333
230,2020-09-18,54.0,23.0,7.566666666666666
231,2020-09-19,56.0,25.0,8.216666666666667
232,2020-09-20,53.0,19.0,6.733333333333333
233,2020-09-21,51.0,31.0,6.95
234,2020-09-22,51.0,24.0,7.233333333333333
235,2020-09-23,53.0,32.0,8.216666666666667
236,2020-09-24,52.0,35.0,7.05
237,2020-09-25,50.0,26.0,7.25
238,2020-09-26,50.0,32.0,8.166666666666666
239,2020-09-27,52.0,35.0,7.4
240,2020-09-28,54.0,27.0,7.483333333333333
241,2020-09-29,52.0,31.0,6.6
242,2020-09-30,53.0,34.0,6.7
243,2020-10-01,52.0,31.0,7.15
244,2020-10-02,55.0,31.0,7.4
245,2020-10-03,52.0,27.0,9.566666666666666
246,2020-10-04,53.0,28.0,9.666666666666666
247,2020-10-05,52.0,30.0,8.1
248,2020-10-06,50.0,22.0,7.85
249,2020-10-07,53.0,23.0,7.0
250,2020-10-08,52.0,29.0,7.933333333333334
251,2020-10-09,52.0,37.0,5.783333333333333
252,2020-10-10,53.0,26.0,8.05
253,2020-10-11,51.0,33.0,7.916666666666667
254,2020-10-12,55.0,30.0,7.7
255,2020-10-13,51.0,34.0,7.983333333333333
256,2020-10-14,53.0,27.0,6.166666666666667
257,2020-10-15,52.0,29.0,7.683333333333334
258,2020-10-16,53.0,27.0,7.133333333333334
259,2020-10-17,52.0,22.0,7.933333333333334
260,2020-10-18,51.0,25.0,7.35
261,2020-10-19,50.0,28.0,7.366666666666666
262,2020-10-20,50.0,27.0,7.75
263,2020-10-21,52.0,31.0,8.416666666666666
264,2020-10-22,52.0,24.0,7.083333333333333
265,2020-10-23,53.0,28.0,8.483333333333333
266,2020-10-24,49.0,22.0,5.45
267,2020-10-25,51.0,21.0,7.95
268,2020-10-26,48.0,21.0,8.5
269,2020-10-27,49.0,26.0,8.05
270,2020-10-28,48.0,24.0,8.316666666666666
271,2020-10-29,51.0,32.0,8.2
272,2020-10-30,53.0,23.0,8.35
273,2020-10-31,51.0,19.0,7.35
274,2020-11-01,52.0,33.0,8.25
275,2020-11-02,50.0,32.0,6.866666666666666
276,2020-11-03,51.0,27.0,8.4
277,2020-11-04,52.0,28.0,8.633333333333333
278,2020-11-05,50.0,25.0,8.133333333333333
279,2020-11-06,52.0,21.0,8.383333333333333
280,2020-11-07,51.0,34.0,8.183333333333334
281,2020-11-08,57.0,37.0,7.8
282,2020-11-09,55.0,32.0,8.05
283,2020-11-10,54.0,26.0,8.266666666666667
284,2020-11-11,53.0,27.0,6.983333333333333
285,2020-11-12,55.0,21.0,7.016666666666667
286,2020-11-13,52.0,28.0,7.483333333333333
